"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Australia","AUS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2497301101685","13.3509197235107","13.5917196273804","14.0653095245361","13.2040195465088","15.0169200897217","14.2970199584961","","","","","","","","","","","","","","","","","","","","","","","","","","12.1686601638794","12.1116104125977","12.6520795822144","","","",
"Austria","AUT","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2860403060913","11.5131101608276","11.7502098083496","11.7597103118897","11.0731801986694","","10.5061197280884","9.7409496307373","","11.2919502258301","12.1505699157715","11.0332202911377","10.816780090332","10.7776603698731","10.4178800582886","9.83547019958496","10.2281703948975","10.3371200561523","10.4166803359985","10.5120296478272","10.5603704452515","10.7506904602051","10.9618196487427","10.6584596633911","10.670069694519","10.4925403594971","10.7222204208374","10.8798904418945","10.8424501419067","10.6811504364014","10.6711502075195","9.73538017272949","9.78234004974365","9.93358039855957","","","",
"Azerbaijan","AZE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.4738464355469","23.7585601806641","","18.7569408416748","21.60498046875","21.1190795898438","20.8775501251221","13.6307201385498","15.1708402633667","14.2350397109985","13.2231502532959","10.100419998169","9.77937030792236","7.76384019851685","9.3439302444458","8.70083999633789","7.2198600769043","5.64367008209229","6.46412992477417","7.23872995376587","7.62711000442505","8.19577980041504","6.95455980300903","7.39965009689331","9.76756954193115","10.7878503799438","11.5088195800781","11.6396102905273","11.1845502853394","11.4496007629151","11.9236160656498",
"Burundi","BDI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8640308380127","18.1227207183838","","16.7564392089844","23.7924404144287","16.7136001586914","","","13.5186395645142","10.7352600097656","11.4331302642822","12.4860801696777","","9.17908000946045","10.9592695236206","","","12.6155395507812","16.3016891479492","16.5881004333496","14.9792995452881","16.4283199310303","17.2432594299316","23.8400001525879","27.4972400665283","20.784610748291","19.7648506164551","19.5192604064941","21.2221666369194","20.7419523430914","20.4385400056007","20.6370838073023","","","14.4042096799077",
"Belgium","BEL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","10.2749395370483","9.25218963623047","","","","8.60939025878906","8.18340015411377","8.16559028625488","","","","","10.1800298690796","10.2812099456787","5.82896995544434","5.89705991744995","","","","","","","","","11.1755199432373","","","12.4724502563477","11.8001499176025","11.948920249939","11.6030197143555","11.6744003295898","11.8087701797485","11.8351898193359","12.007269859314","12.1512203216553","12.3418598175049","12.1805801391602","12.2196102142334","11.5557899475098","11.6166801452637","12.0173597335815","","","",
"Benin","BEN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4617404937744","17.8851890563965","13.5131998062134","15.3105802536011","14.1290798187256","16.6825294494629","19.2139492034912","18.7903900146484","19.7096099853516","14.9486904144287","19.0885791778564","18.1756191253662","26.1439609527588","","25.0213108062744","22.3412208557129","22.2277107238769","17.4795207977295","18.7914009094238","19.8796501159668","17.7091808319092","18.8681161491591","15.7203538987759","14.7747873406015","14.9914706871899","15.797556817439","17.9680318219226","18.0216894323919",
"Burkina Faso","BFA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.21282005310059","","","","","","19.9496803283691","","7.34017992019653","","","","","","","","","19.4941902160644","18.2017002105713","17.8638191223144","","","16.1728191375732","19.5006103515625","15.8953800201416","16.1652793884277","19.3681106567383","18.0270805358887","","21.4440002441406","22.661169052124","21.6566204230503","20.9924587920549","21.3924651599231","21.9580967321077","20.2971969686914","","",
"Bangladesh","BGD","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","5.26359987258911","6.63402986526489","6.39411020278931","6.47325992584229","8.08761978149414","8.38862991333008","9.13004970550537","10.4684295654297","","","11.191029548645","11.0621004104614","12.5366697311401","12.1138496398926","","","","15.1968698501587","","18.129789352417","20.4904193878174","18.5847797393799","15.6937999725342","16.6816291809082","15.9531202316284","","17.3365306854248","18.1534004211426","17.8161907196045","14.0298700332642","","16.7939701080322","15.7451200485229","14.0347404479981","13.3063279357793","12.0441031435219","11.0494499206543","","14.2451717852618","8.73297023773193","15.0307025894897","12.769976047482","12.4040438079191","13.0012248166938","11.9930164022657","11.8834378920954",
"Bulgaria","BGR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.95102024078369","","","9.27773952484131","9.65431976318359","11.1802501678467","12.2791795730591","12.0725202560425","12.010479927063","11.113920211792","12.6122598648071","12.6567497253418","11.1634197235107","11.1000499725342","10.6909198760986","11.4398002624512","","","","12.7309503555298","11.7900295257568","11.7067098617554","11.914999961853","12.2527103424072","11.9818496704102","","","",
"Bahrain","BHR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9186601638794","11.0267295837402","10.5586700439453","","8.62552422968448","8.76965450044426","8.17982959747314","7.45860004425049","8.6840295791626","7.32818984985352","9.62066806104186","7.22384977340698","9.25130901584206","8.55740317815593","7.1386052862896","7.66467244701359","7.66017986372767","7.72491437544958","8.7409747478851","8.33664979097755",
